HourOfDay	DayOfWeek	WeekOfYear	Month	SolarSurface	AvgGenArea	Consumed	UvIndex	GeneratedSolar
0	2	1	1	15.00	1.00	677.00	0.00	13.95
0	2	1	1	10.00	1.00	3050.00	0.00	10.60
0	2	1	1	8.00	1.00	3743.00	0.00	8.40
0	2	1	1	8.00	1.00	2445.00	0.00	8.64
0	2	1	1	12.00	1.00	1762.00	0.00	12.24
0	2	1	1	14.00	1.00	467.00	0.00	13.16
0	2	1	1	10.00	1.00	2698.00	0.00	10.20
0	2	1	1	18.00	1.00	3660.00	0.00	18.90
0	2	1	1	17.00	1.00	3689.00	0.00	17.51
0	2	1	1	13.00	1.00	1035.00	0.00	11.83
1	2	1	1	15.00	1.00	3222.00	0.00	14.70
1	2	1	1	10.00	1.00	2706.00	0.00	9.30
1	2	1	1	8.00	1.00	584.00	0.00	8.08
1	2	1	1	8.00	1.00	57.00	0.00	8.00
1	2	1	1	12.00	1.00	2144.00	0.00	10.92
1	2	1	1	14.00	1.00	2405.00	0.00	13.86
1	2	1	1	10.00	1.00	2358.00	0.00	10.00
1	2	1	1	18.00	1.00	106.00	0.00	18.72
1	2	1	1	17.00	1.00	525.00	0.00	17.17
1	2	1	1	13.00	1.00	1081.00	0.00	12.09
2	2	1	1	15.00	1.00	66.00	0.00	13.80
2	2	1	1	10.00	1.00	313.00	0.00	9.40
2	2	1	1	8.00	1.00	2018.00	0.00	8.64
2	2	1	1	8.00	1.00	1615.00	0.00	8.08
2	2	1	1	12.00	1.00	1896.00	0.00	11.40
2	2	1	1	14.00	1.00	1108.00	0.00	14.98
2	2	1	1	10.00	1.00	2126.00	0.00	10.60
2	2	1	1	18.00	1.00	1534.00	0.00	16.20
2	2	1	1	17.00	1.00	617.00	0.00	18.53
2	2	1	1	13.00	1.00	2512.00	0.00	12.09
3	2	1	1	15.00	1.00	3616.00	0.00	14.70
3	2	1	1	10.00	1.00	265.00	0.00	10.00
3	2	1	1	8.00	1.00	2471.00	0.00	8.72
3	2	1	1	8.00	1.00	175.00	0.00	8.08
3	2	1	1	12.00	1.00	2915.00	0.00	12.96
3	2	1	1	14.00	1.00	2212.00	0.00	13.44
3	2	1	1	10.00	1.00	3296.00	0.00	10.50
3	2	1	1	18.00	1.00	1544.00	0.00	16.56
3	2	1	1	17.00	1.00	415.00	0.00	17.17
3	2	1	1	13.00	1.00	274.00	0.00	13.52
4	2	1	1	15.00	1.00	474.00	0.00	15.15
4	2	1	1	10.00	1.00	2482.00	0.00	10.40
4	2	1	1	8.00	1.00	846.00	0.00	8.24
4	2	1	1	8.00	1.00	41.00	0.00	8.40
4	2	1	1	12.00	1.00	1421.00	0.00	12.12
4	2	1	1	14.00	1.00	1779.00	0.00	12.60
4	2	1	1	10.00	1.00	2114.00	0.00	10.80
4	2	1	1	18.00	1.00	919.00	0.00	19.26
4	2	1	1	17.00	1.00	718.00	0.00	16.83
4	2	1	1	13.00	1.00	1305.00	0.00	11.96
5	2	1	1	15.00	1.00	2128.00	0.00	16.20
5	2	1	1	10.00	1.00	2148.00	0.00	9.90
5	2	1	1	8.00	1.00	1220.00	0.00	7.44
5	2	1	1	8.00	1.00	3978.00	0.00	8.00
5	2	1	1	12.00	1.00	2609.00	0.00	11.76
5	2	1	1	14.00	1.00	3542.00	0.00	14.84
5	2	1	1	10.00	1.00	498.00	0.00	9.80
5	2	1	1	18.00	1.00	1194.00	0.00	16.38
5	2	1	1	17.00	1.00	3588.00	0.00	15.81
5	2	1	1	13.00	1.00	2969.00	0.00	12.61
6	2	1	1	15.00	1.00	2267.00	0.00	15.90
6	2	1	1	10.00	1.00	2332.00	0.00	9.90
6	2	1	1	8.00	1.00	3494.00	0.00	8.24
6	2	1	1	8.00	1.00	957.00	0.00	8.16
6	2	1	1	12.00	1.00	3585.00	0.00	13.08
6	2	1	1	14.00	1.00	1533.00	0.00	14.98
6	2	1	1	10.00	1.00	1634.00	0.00	10.90
6	2	1	1	18.00	1.00	161.00	0.00	16.56
6	2	1	1	17.00	1.00	849.00	0.00	17.51
6	2	1	1	13.00	1.00	1500.00	0.00	12.87
7	2	1	1	15.00	17.00	3151.00	1.00	265.20
7	2	1	1	10.00	17.00	3601.00	1.00	173.40
7	2	1	1	8.00	17.00	610.00	1.00	136.00
7	2	1	1	8.00	17.00	3263.00	1.00	122.40
7	2	1	1	12.00	17.00	2228.00	1.00	201.96
7	2	1	1	14.00	17.00	2405.00	1.00	216.58
7	2	1	1	10.00	17.00	1532.00	1.00	178.50
7	2	1	1	18.00	17.00	1451.00	1.00	302.94
7	2	1	1	17.00	17.00	3534.00	1.00	260.10
7	2	1	1	13.00	17.00	1132.00	1.00	234.26
8	2	1	1	15.00	33.00	1088.00	2.00	509.85
8	2	1	1	10.00	33.00	2042.00	2.00	297.00
8	2	1	1	8.00	33.00	1757.00	2.00	277.20
8	2	1	1	8.00	33.00	53.00	2.00	285.12
8	2	1	1	12.00	33.00	75.00	2.00	431.64
8	2	1	1	14.00	33.00	3778.00	2.00	471.24
8	2	1	1	10.00	33.00	53.00	2.00	323.40
8	2	1	1	18.00	33.00	195.00	2.00	534.60
8	2	1	1	17.00	33.00	2364.00	2.00	611.49
8	2	1	1	13.00	33.00	2161.00	2.00	386.10
9	2	1	1	15.00	49.00	3191.00	3.00	779.10
9	2	1	1	10.00	49.00	1656.00	3.00	514.50
9	2	1	1	8.00	49.00	1148.00	3.00	415.52
9	2	1	1	8.00	49.00	2386.00	3.00	395.92
9	2	1	1	12.00	49.00	3109.00	3.00	635.04
9	2	1	1	14.00	49.00	3072.00	3.00	747.74
9	2	1	1	10.00	49.00	732.00	3.00	475.30
9	2	1	1	18.00	49.00	1721.00	3.00	908.46
9	2	1	1	17.00	49.00	377.00	3.00	874.65
9	2	1	1	13.00	49.00	381.00	3.00	586.04
10	2	1	1	15.00	81.00	53.00	5.00	1142.10
10	2	1	1	10.00	81.00	1817.00	5.00	858.60
10	2	1	1	8.00	81.00	516.00	5.00	699.84
10	2	1	1	8.00	81.00	3120.00	5.00	602.64
10	2	1	1	12.00	81.00	1773.00	5.00	933.12
10	2	1	1	14.00	81.00	1804.00	5.00	1099.98
10	2	1	1	10.00	81.00	1224.00	5.00	858.60
10	2	1	1	18.00	81.00	3573.00	5.00	1428.84
10	2	1	1	17.00	81.00	2447.00	5.00	1377.00
10	2	1	1	13.00	81.00	1915.00	5.00	1084.59
11	2	1	1	15.00	129.00	1247.00	8.00	2051.10
11	2	1	1	10.00	129.00	834.00	8.00	1173.90
11	2	1	1	8.00	129.00	3515.00	8.00	928.80
